param_type,param_name,out_u_bound,base,in_l_bound,out_l_bound,in_u_bound
output,g33_phi_1,1,10,0.16873312893407894,0,0.20776896973992376
output,g33_Phi,1,10,0.21687814170285694,0,0.22934902016770342
output,g33_phi_2,1,10,0.5045660026632731,0,0.5220789073568771
output,g34_phi_1,1,10,-0.11858680970674003,0,-0.01385553528947943
output,g34_Phi,1,10,0.27149310218565637,0,0.2858047638486316
output,g34_phi_2,1,10,0.4401846540708854,0,0.4504184809368111
output,g35_phi_1,1,10,0.46717877794303153,0,0.538925450303585
output,g35_Phi,1,10,0.4434194617828172,0,0.45504291407907616
output,g35_phi_2,1,10,0.7623484044592503,0,0.7973021721837034
output,g36_phi_1,1,10,0.25614022663453295,0,0.3118597736235035
output,g36_Phi,1,10,0.23512426401946152,0,0.24620304183788128
output,g36_phi_2,1,10,0.5406297475490236,0,0.5510716554419849
output,g37_phi_1,1,10,-0.04279990521485233,0,0.02787940920720745
output,g37_Phi,1,10,0.43340176738907127,0,0.4486444942260085
output,g37_phi_2,1,10,0.45256838198809884,0,0.48180080953861054
output,g38_phi_1,1,10,0.250834579996684,0,0.2702827839652131
output,g38_Phi,1,10,0.4112660665121394,0,0.4189141752946957
output,g38_phi_2,1,10,0.6004610191927618,0,0.6152344012068295
output,g39_phi_1,1,10,-0.24303696295144683,0,-0.1642016607673635
output,g39_Phi,1,10,0.25866122332560415,0,0.27538046752743395
output,g39_phi_2,1,10,0.43656017062174035,0,0.45046466200714996
output,g40_phi_1,1,10,-0.007954855541117313,0,0.042417988143250235
output,g40_Phi,1,10,0.3883854257180324,0,0.3960248966085932
output,g40_phi_2,1,10,0.4776420956558481,0,0.5009770535891999
output,g41_phi_1,1,10,0.25433051286534725,0,0.2780215409701317
output,g41_Phi,1,10,0.26408551415539533,0,0.2906132849749863
output,g41_phi_2,1,10,0.6492472119686274,0,0.6534923022970599
output,g42_phi_1,1,10,0.21787857802743296,0,0.26102483399239734
output,g42_Phi,1,10,0.21154768118124762,0,0.22968184231767583
output,g42_phi_2,1,10,0.588036283454229,0,0.5921323260201153
output,g43_phi_1,1,10,-0.30373974342053683,0,-0.20372408658960744
output,g43_Phi,1,10,0.3424226808222062,0,0.36662838129296776
output,g43_phi_2,1,10,0.5734634185290415,0,0.5923877443764841
output,g44_phi_1,1,10,0.07700432679335026,0,0.14507203770499771
output,g44_Phi,1,10,0.38304299930574365,0,0.40781564238419776
output,g44_phi_2,1,10,0.5784099703312358,0,0.5933746895045732
output,g45_phi_1,1,10,-0.009266108071277595,0,0.033021444682910656
output,g45_Phi,1,10,0.3130864755178017,0,0.3294385607794513
output,g45_phi_2,1,10,0.5013468699329651,0,0.5187113016090291
output,g46_phi_1,1,10,0.40426910890542395,0,0.4239990900577282
output,g46_Phi,1,10,0.36078268987328,0,0.3742716432759797
output,g46_phi_2,1,10,0.6314742091483598,0,0.6437486854595257
output,g47_phi_1,1,10,0.3037143086537105,0,0.3281552619699468
output,g47_Phi,1,10,0.32438535649042693,0,0.33965015761368395
output,g47_phi_2,1,10,0.6683020319726072,0,0.6743742377170523
output,g48_phi_1,1,10,0.14041375759107408,0,0.17055505852120847
output,g48_Phi,1,10,0.20687982230629995,0,0.22481783739504022
output,g48_phi_2,1,10,0.5920434496293614,0,0.5990639058794172
output,g49_phi_1,1,10,0.2615483384446891,0,0.2843404814580967
output,g49_Phi,1,10,0.2663022696903849,0,0.2954131455196583
output,g49_phi_2,1,10,0.6493640703630101,0,0.6525557502118174
output,g50_phi_1,1,10,0.17312796993820792,0,0.21184109637534224
output,g50_Phi,1,10,0.31626397191068956,0,0.3371796254098343
output,g50_phi_2,1,10,0.5062885076680408,0,0.5149194664903173
output,g51_phi_1,1,10,-0.09894510044303206,0,-0.07055041928656014
output,g51_Phi,1,10,0.31515133770498255,0,0.34220547927634193
output,g51_phi_2,1,10,0.48818394944939714,0,0.5083411471001154
output,g52_phi_1,1,10,0.6667893298182557,0,0.6911699341316038
output,g52_Phi,1,10,0.45147940512486173,0,0.47735281669897034
output,g52_phi_2,1,10,-0.3179271615641098,0,-0.15126297049924625
output,g53_phi_1,1,10,0.38069954838271675,0,0.41314882471431646
output,g53_Phi,1,10,0.3746567130354199,0,0.3892015355283335
output,g53_phi_2,1,10,0.634578022853888,0,0.6520818776576878
output,g54_phi_1,1,10,0.2895889525425967,0,0.3259669637014247
output,g54_Phi,1,10,0.4116533708973118,0,0.43288915534840966
output,g54_phi_2,1,10,0.6836952928309132,0,0.7070333630498096
output,g55_phi_1,1,10,0.740283719681879,0,0.761002662992075
output,g55_Phi,1,10,0.4285235404207636,0,0.44794834818542983
output,g55_phi_2,1,10,0.0994389155535068,0,0.18275693104039914
output,g56_phi_1,1,10,0.28679317565497386,0,0.3045766887661129
output,g56_Phi,1,10,0.41350093500212054,0,0.4348083386530925
output,g56_phi_2,1,10,0.6793279428659341,0,0.6940081822065218
output,g57_phi_1,1,10,0.4045600590923558,0,0.43284106693432356
output,g57_Phi,1,10,0.36082053523794194,0,0.38106090338289045
output,g57_phi_2,1,10,0.6302549364707468,0,0.6448520064261426
output,g58_phi_1,1,10,0.08972853307473597,0,0.1275583020046327
output,g58_Phi,1,10,0.39527395998698,0,0.40596073474172156
output,g58_phi_2,1,10,0.5725114762201823,0,0.5964981311785094
output,g59_phi_1,1,10,0.2179048742026645,0,0.2689522023944986
output,g59_Phi,1,10,0.324652785542988,0,0.3492775274679552
output,g59_phi_2,1,10,0.6342555319256964,0,0.6504240966078485
output,g60_phi_1,1,10,0.315046224922345,0,0.3900868754237662
output,g60_Phi,1,10,0.4718049315750369,0,0.4861611753045384
output,g60_phi_2,1,10,0.6034691597338386,0,0.6365179849980136
output,g61_phi_1,1,10,-0.53384443524779,0,-0.26708379267362053
output,g61_Phi,1,10,0.3860171398068467,0,0.40476531840231444
output,g61_phi_2,1,10,0.3471543101005945,0,0.40346370134531745
output,g63_phi_1,1,10,0.28051007970327585,0,0.4951695448486671
output,g63_Phi,1,10,0.48171487302716925,0,0.4896350977926641
output,g63_phi_2,1,10,0.5848172716241724,0,0.7009718241909828
output,g64_phi_1,1,10,-0.5629632808865119,0,-0.3940058024983292
output,g64_Phi,1,10,0.3705871002466761,0,0.37910600473569533
output,g64_phi_2,1,10,0.516204734761517,0,0.5367603930433873
output,g66_phi_1,1,10,0.20455406013524338,0,0.22138815330634457
output,g66_Phi,1,10,0.20262452357897798,0,0.212799980625567
output,g66_phi_2,1,10,0.6104578710045817,0,0.6124129591954145
output,g67_phi_1,1,10,-0.15842156016150802,0,-0.08670019030815344
output,g67_Phi,1,10,0.3042319421856736,0,0.33795816367970083
output,g67_phi_2,1,10,0.4891425328290056,0,0.5030958008377787
output,g68_phi_1,1,10,0.34204744625866795,0,0.35289610469331045
output,g68_Phi,1,10,0.34999589926285635,0,0.37055009649920745
output,g68_phi_2,1,10,0.6569219087953577,0,0.6693540776439391
output,g69_phi_1,1,10,-0.4474412836947246,0,-0.14469289479317146
output,g69_Phi,1,10,0.39199307225971286,0,0.41830129131974547
output,g69_phi_2,1,10,0.4565178578052626,0,0.49691581681851527
output,g70_phi_1,1,10,-0.042526804702579205,0,0.03806352699785888
output,g70_Phi,1,10,0.3093959258697562,0,0.339848783037637
output,g70_phi_2,1,10,0.5092831887366661,0,0.5218438924494718
output,g71_phi_1,1,10,0.28082867763973174,0,0.3120503511802383
output,g71_Phi,1,10,0.28728653926281206,0,0.301745991025256
output,g71_phi_2,1,10,0.5533003416523027,0,0.565434570307759
output,g72_phi_1,1,10,-0.9817156915734689,0,-0.5815826913012249
output,g72_Phi,1,10,0.4599952560473914,0,0.4715264014088289
output,g72_phi_2,1,10,0.26347036606118457,0,0.3137617962924363
output,g73_phi_1,1,10,0.28255414285180236,0,0.30263391981377896
output,g73_Phi,1,10,0.28515207852509133,0,0.3146044732134347
output,g73_phi_2,1,10,0.6503075231319364,0,0.6621059008882954
output,g74_phi_1,1,10,0.4033607757655246,0,0.4195757810621395
output,g74_Phi,1,10,0.36097188372593586,0,0.38069954838271675
output,g74_phi_2,1,10,0.6216124351375326,0,0.6357149068838659
output,g75_phi_1,1,10,0.35812528527664855,0,0.4279727136082088
