param_type,param_name,out_u_bound,out_l_bound,in_u_bound,base,in_l_bound
output,g18_Phi,1,0,0.44697186524010296,10,0.43744930524980563
output,g18_phi_2,1,0,0.18292796923699245,10,0.13248382500056194
output,g19_phi_1,1,0,0.0984360453403632,10,0.07390155831420696
output,g19_Phi,1,0,0.454280672796099,10,0.44454441573953246
output,g19_phi_2,1,0,0.5609223792574705,10,0.5541377057011712
output,g20_phi_1,1,0,-0.01444330200983281,10,-0.06644185403062684
output,g20_Phi,1,0,0.3382372988810577,10,0.32988580505442516
output,g20_phi_2,1,0,0.4815716077088867,10,0.4761792624817036
output,g21_phi_1,1,0,0.40411499750559565,10,0.38967984321924926
output,g21_Phi,1,0,0.3312450368208295,10,0.31062959698780657
output,g21_phi_2,1,0,0.6571801925067863,10,0.6444484373036208
output,g22_phi_1,1,0,0.17542482979032184,10,0.15794005596476746
output,g22_Phi,1,0,0.23083195343182816,10,0.2230544131791053
output,g22_phi_2,1,0,0.5916432806389674,10,0.5892009427767458
output,g23_phi_1,1,0,-0.13618363350471915,10,-0.1816619171364276
output,g23_Phi,1,0,0.42706394371579404,10,0.40905350501006954
output,g23_phi_2,1,0,0.5955182666712378,10,0.5864410150551581
output,g24_phi_1,1,0,0.3119656603683663,10,0.28219145627555625
output,g24_Phi,1,0,0.2632809142966215,10,0.24472232276999784
output,g24_phi_2,1,0,0.5496162395190852,10,0.5398160280620559
output,g25_phi_1,1,0,0.07467018892400701,10,0.022057020601165
output,g25_Phi,1,0,0.3888291538988402,10,0.37857957611577475
output,g25_phi_2,1,0,0.5080042078293292,10,0.48474102923706575
output,g26_phi_1,1,0,-0.4279885482736867,10,-0.665003719756775
output,g26_Phi,1,0,0.3624447739410545,10,0.3561980103076291
output,g26_phi_2,1,0,0.5531788504824883,10,0.5432234514864356
output,g27_phi_1,1,0,0.2645108760717724,10,0.2289646774051606
output,g27_Phi,1,0,0.22357381105468752,10,0.2149762347220665
output,g27_phi_2,1,0,0.5321808846186274,10,0.5284153019361394
output,g28_phi_1,1,0,0.3350364406355139,10,0.30267718701001933
output,g28_Phi,1,0,0.4514486901432793,10,0.436019449430434
output,g28_phi_2,1,0,0.6488477083728935,10,0.6258061544804383
output,g29_phi_1,1,0,0.27364933472360464,10,0.22453306260608574
output,g29_Phi,1,0,0.22279448111370678,10,0.21698355938209365
output,g29_phi_2,1,0,0.5301484509929332,10,0.5277458690761883
